doc_title,para_num,term_str,n
ASHPUTTEL,7,dishes,2
ASHPUTTEL,7,get,1
ASHPUTTEL,7,go,4
ASHPUTTEL,7,hard,1
ASHPUTTEL,7,have,1
ASHPUTTEL,7,her,2
ASHPUTTEL,7,hour,1
ASHPUTTEL,7,if,1
ASHPUTTEL,7,in,1
ASHPUTTEL,7,into,1
ASHPUTTEL,7,least,1
ASHPUTTEL,7,mother,2
ASHPUTTEL,7,no,3
ASHPUTTEL,7,not,2
ASHPUTTEL,7,now,1
ASHPUTTEL,7,of,5
ASHPUTTEL,7,one,1
ASHPUTTEL,7,out,1
ASHPUTTEL,7,overjoyed,1
ASHPUTTEL,7,peas,2
ASHPUTTEL,7,pick,1
ASHPUTTEL,7,rid,1
ASHPUTTEL,7,s,1
ASHPUTTEL,7,said,2
ASHPUTTEL,7,shall,2
ASHPUTTEL,7,she,5
ASHPUTTEL,7,shook,1
ASHPUTTEL,7,should,2
ASHPUTTEL,7,slut,1
ASHPUTTEL,7,so,1
ASHPUTTEL,7,that,1
ASHPUTTEL,7,the,6
ASHPUTTEL,7,then,1
ASHPUTTEL,7,those,1
ASHPUTTEL,7,thought,2
ASHPUTTEL,7,thus,1
ASHPUTTEL,7,time,1
ASHPUTTEL,7,to,3
ASHPUTTEL,7,too,1
ASHPUTTEL,7,two,2
ASHPUTTEL,7,very,1
ASHPUTTEL,7,when,1
ASHPUTTEL,7,you,5
ASHPUTTEL,8,and,1
ASHPUTTEL,8,as,1
ASHPUTTEL,8,at,1
ASHPUTTEL,8,back,1
ASHPUTTEL,8,before,1
ASHPUTTEL,8,but,1
ASHPUTTEL,8,cried,1
ASHPUTTEL,8,garden,1
ASHPUTTEL,8,house,1
ASHPUTTEL,8,into,1
ASHPUTTEL,8,little,1
ASHPUTTEL,8,maiden,1
ASHPUTTEL,8,of,1
ASHPUTTEL,8,out,2
ASHPUTTEL,8,the,4
ASHPUTTEL,8,went,1
ASHPUTTEL,9,all,1
ASHPUTTEL,9,and,3
ASHPUTTEL,9,away,1
ASHPUTTEL,9,blackbird,1
ASHPUTTEL,9,chaffinch,1
ASHPUTTEL,9,come,1
ASHPUTTEL,9,fly,1
ASHPUTTEL,9,gay,1
ASHPUTTEL,9,haste,3
ASHPUTTEL,9,help,1
ASHPUTTEL,9,hither,4
ASHPUTTEL,9,linnets,1
ASHPUTTEL,9,me,1
ASHPUTTEL,9,one,1
ASHPUTTEL,9,pick,3
ASHPUTTEL,9,quick,1
ASHPUTTEL,9,sky,1
ASHPUTTEL,9,the,1
ASHPUTTEL,9,through,1
ASHPUTTEL,9,thrush,1
ASHPUTTEL,9,turtledoves,1
ASHPUTTEL,9,ye,2
ASHPUTTEL,10,about,1
ASHPUTTEL,10,after,1
ASHPUTTEL,10,again,1
ASHPUTTEL,10,all,5
ASHPUTTEL,10,an,1
ASHPUTTEL,10,and,13
ASHPUTTEL,10,ashes,2
ASHPUTTEL,10,ashputtel,1
ASHPUTTEL,10,at,1
ASHPUTTEL,10,ball,2
ASHPUTTEL,10,before,1
ASHPUTTEL,10,began,1
ASHPUTTEL,10,birds,1
ASHPUTTEL,10,but,1
ASHPUTTEL,10,came,3
ASHPUTTEL,10,can,2
ASHPUTTEL,10,chirping,1
ASHPUTTEL,10,clothes,1
ASHPUTTEL,10,dance,1
ASHPUTTEL,10,daughters,1
ASHPUTTEL,10,dishes,2
ASHPUTTEL,10,done,1
ASHPUTTEL,10,doves,2
ASHPUTTEL,10,down,2
ASHPUTTEL,10,first,1
ASHPUTTEL,10,flew,2
ASHPUTTEL,10,go,2
ASHPUTTEL,10,good,1
ASHPUTTEL,10,grain,1
ASHPUTTEL,10,half,1
ASHPUTTEL,10,have,1
ASHPUTTEL,10,heads,1
ASHPUTTEL,10,heaven,1
ASHPUTTEL,10,her,3
ASHPUTTEL,10,hopping,1
ASHPUTTEL,10,hour,1
ASHPUTTEL,10,in,1
ASHPUTTEL,10,into,2
ASHPUTTEL,10,is,1
ASHPUTTEL,10,it,1
ASHPUTTEL,10,kitchen,1
ASHPUTTEL,10,left,1
ASHPUTTEL,10,little,2
ASHPUTTEL,10,mother,2
ASHPUTTEL,10,next,1
ASHPUTTEL,10,no,2
ASHPUTTEL,10,not,2
ASHPUTTEL,10,now,1
ASHPUTTEL,10,of,1
ASHPUTTEL,10,off,1
ASHPUTTEL,10,only,1
ASHPUTTEL,10,others,1
ASHPUTTEL,10,out,1
ASHPUTTEL,10,pick,6
ASHPUTTEL,10,put,3
ASHPUTTEL,10,rejoicing,1
ASHPUTTEL,10,s,1
ASHPUTTEL,10,said,1
ASHPUTTEL,10,set,1
ASHPUTTEL,10,shame,1
ASHPUTTEL,10,she,2
ASHPUTTEL,10,should,1
ASHPUTTEL,10,that,1
ASHPUTTEL,10,the,11
ASHPUTTEL,10,their,1
ASHPUTTEL,10,them,1
ASHPUTTEL,10,then,3
ASHPUTTEL,10,they,3
ASHPUTTEL,10,think,1
ASHPUTTEL,10,time,1
ASHPUTTEL,10,to,6
ASHPUTTEL,10,took,1
ASHPUTTEL,10,turtledoves,1
ASHPUTTEL,10,two,3
ASHPUTTEL,10,under,1
ASHPUTTEL,10,us,1
ASHPUTTEL,10,use,1
ASHPUTTEL,10,was,1
ASHPUTTEL,10,went,1
ASHPUTTEL,10,white,1
ASHPUTTEL,10,window,1
ASHPUTTEL,10,with,1
ASHPUTTEL,10,work,1
ASHPUTTEL,10,would,1
ASHPUTTEL,10,you,3
ASHPUTTEL,11,all,1
ASHPUTTEL,11,and,3
ASHPUTTEL,11,ashputtel,1
ASHPUTTEL,11,at,1
ASHPUTTEL,11,cried,1
ASHPUTTEL,11,down,1
ASHPUTTEL,11,gone,1
ASHPUTTEL,11,hazeltree,1
ASHPUTTEL,11,home,1
ASHPUTTEL,11,left,1
ASHPUTTEL,11,nobody,1
ASHPUTTEL,11,now,1
ASHPUTTEL,11,out,1
ASHPUTTEL,11,sat,1
ASHPUTTEL,11,sorrowfully,1
ASHPUTTEL,11,the,1
ASHPUTTEL,11,under,1
ASHPUTTEL,11,went,1
ASHPUTTEL,11,were,1
ASHPUTTEL,11,when,1
ASHPUTTEL,12,and,1
ASHPUTTEL,12,gold,1
ASHPUTTEL,12,hazeltree,1
ASHPUTTEL,12,me,1
ASHPUTTEL,12,over,1
ASHPUTTEL,12,shake,2
ASHPUTTEL,12,silver,1
ASHPUTTEL,13,a,1
ASHPUTTEL,13,and,8
ASHPUTTEL,13,ashputtel,1
ASHPUTTEL,13,at,1
ASHPUTTEL,13,be,1
ASHPUTTEL,13,beautiful,1
ASHPUTTEL,13,bird,1
ASHPUTTEL,13,brought,1
ASHPUTTEL,13,but,1
ASHPUTTEL,13,clothes,1
ASHPUTTEL,13,did,1
ASHPUTTEL,13,dirt,1
ASHPUTTEL,13,dress,1
ASHPUTTEL,13,feast,1
ASHPUTTEL,13,fine,1
ASHPUTTEL,13,flew,1
ASHPUTTEL,13,followed,1
ASHPUTTEL,13,for,2
ASHPUTTEL,13,friend,1
ASHPUTTEL,13,gold,1
ASHPUTTEL,13,granted,1
ASHPUTTEL,13,her,5
ASHPUTTEL,13,home,1
ASHPUTTEL,13,in,2
ASHPUTTEL,13,it,2
ASHPUTTEL,13,know,1
ASHPUTTEL,13,looked,1
ASHPUTTEL,13,must,1
ASHPUTTEL,13,never,1
ASHPUTTEL,13,not,1
ASHPUTTEL,13,of,3
ASHPUTTEL,13,on,1
ASHPUTTEL,13,once,1
ASHPUTTEL,13,out,1
ASHPUTTEL,13,princess,1
ASHPUTTEL,13,put,1
ASHPUTTEL,13,rich,1
ASHPUTTEL,13,safe,1
ASHPUTTEL,13,she,3
ASHPUTTEL,13,silk,1
ASHPUTTEL,13,silver,1
ASHPUTTEL,13,sisters,1
ASHPUTTEL,13,slippers,1
ASHPUTTEL,13,so,1
ASHPUTTEL,13,some,1
ASHPUTTEL,13,spangled,1
ASHPUTTEL,13,strange,1
ASHPUTTEL,13,taking,1
ASHPUTTEL,13,that,1
ASHPUTTEL,13,the,4
ASHPUTTEL,13,them,1
ASHPUTTEL,13,then,1
ASHPUTTEL,13,they,2
ASHPUTTEL,13,thought,2
ASHPUTTEL,13,to,1
ASHPUTTEL,13,tree,1
ASHPUTTEL,13,was,1
ASHPUTTEL,14,and,4
ASHPUTTEL,14,anyone,1
ASHPUTTEL,14,ask,1
ASHPUTTEL,14,but,1
ASHPUTTEL,14,by,1
ASHPUTTEL,14,came,2
ASHPUTTEL,14,dance,1
ASHPUTTEL,14,danced,1
ASHPUTTEL,14,dancing,1
ASHPUTTEL,14,else,2
ASHPUTTEL,14,hand,2
ASHPUTTEL,14,he,2
ASHPUTTEL,14,her,5
ASHPUTTEL,14,is,1
ASHPUTTEL,14,king,1
ASHPUTTEL,14,lady,1
ASHPUTTEL,14,left,1
ASHPUTTEL,14,me,1
ASHPUTTEL,14,never,1
ASHPUTTEL,14,no,1
ASHPUTTEL,14,one,1
ASHPUTTEL,14,s,1
ASHPUTTEL,14,said,1
ASHPUTTEL,14,son,1
