line_num,line_str,doc_id
590,"weep, nor speak, nor stir hand or foot. And now the sun went quite down;",3
591,the gloomy night came; the owl flew into a bush; and a moment after the,3
592,"old fairy came forth pale and meagre, with staring eyes, and a nose and",3
593,chin that almost met one another.,3
594,,3
595,"She mumbled something to herself, seized the nightingale, and went away",3
596,with it in her hand. Poor Jorindel saw the nightingale was gone--but,3
597,"what could he do? He could not speak, he could not move from the spot",3
598,where he stood. At last the fairy came back and sang with a hoarse,3
599,voice:,3
600,,3
601,"‘Till the prisoner is fast,",3
602,"And her doom is cast,",3
603,"There stay! Oh, stay!",3
604,"When the charm is around her,",3
605,"And the spell has bound her,",3
606,Hie away! away!’,3
607,,3
608,On a sudden Jorindel found himself free. Then he fell on his knees,3
609,"before the fairy, and prayed her to give him back his dear Jorinda: but",3
610,"she laughed at him, and said he should never see her again; then she",3
611,went her way.,3
612,,3
613,"He prayed, he wept, he sorrowed, but all in vain. ‘Alas!’ he said, ‘what",3
614,"will become of me?’ He could not go back to his own home, so he went to",3
615,"a strange village, and employed himself in keeping sheep. Many a time",3
616,"did he walk round and round as near to the hated castle as he dared go,",3
617,but all in vain; he heard or saw nothing of Jorinda.,3
618,,3
619,"At last he dreamt one night that he found a beautiful purple flower,",3
620,and that in the middle of it lay a costly pearl; and he dreamt that he,3
621,"plucked the flower, and went with it in his hand into the castle, and",3
622,"that everything he touched with it was disenchanted, and that there he",3
623,found his Jorinda again.,3
624,,3
625,"In the morning when he awoke, he began to search over hill and dale for",3
626,this pretty flower; and eight long days he sought for it in vain: but,3
627,"on the ninth day, early in the morning, he found the beautiful purple",3
628,"flower; and in the middle of it was a large dewdrop, as big as a costly",3
629,"pearl. Then he plucked the flower, and set out and travelled day and",3
630,"night, till he came again to the castle.",3
631,,3
632,"He walked nearer than a hundred paces to it, and yet he did not become",3
633,"fixed as before, but found that he could go quite close up to the door.",3
634,Jorindel was very glad indeed to see this. Then he touched the door with,3
635,"the flower, and it sprang open; so that he went in through the court,",3
636,and listened when he heard so many birds singing. At last he came to the,3
637,"chamber where the fairy sat, with the seven hundred birds singing in",3
638,"the seven hundred cages. When she saw Jorindel she was very angry, and",3
639,"screamed with rage; but she could not come within two yards of him, for",3
640,the flower he held in his hand was his safeguard. He looked around at,3
641,"the birds, but alas! there were many, many nightingales, and how then",3
642,should he find out which was his Jorinda? While he was thinking what to,3
643,"do, he saw the fairy had taken down one of the cages, and was making the",3
644,"best of her way off through the door. He ran or flew after her, touched",3
645,"the cage with the flower, and Jorinda stood before him, and threw her",3
646,"arms round his neck looking as beautiful as ever, as beautiful as when",3
647,they walked together in the wood.,3
648,,3
649,"Then he touched all the other birds with the flower, so that they all",3
650,"took their old forms again; and he took Jorinda home, where they were",3
651,"married, and lived happily together many years: and so did a good many",3
652,"other lads, whose maidens had been forced to sing in the old fairy’s",3
653,"cages by themselves, much longer than they liked.",3
654,,3
655,,3
656,,3
657,,3
659,,4
660,,4
661,An honest farmer had once an ass that had been a faithful servant to him,4
662,"a great many years, but was now growing old and every day more and more",4
663,unfit for work. His master therefore was tired of keeping him and,4
664,"began to think of putting an end to him; but the ass, who saw that some",4
665,"mischief was in the wind, took himself slyly off, and began his journey",4
666,"towards the great city, ‘For there,’ thought he, ‘I may turn musician.’",4
667,,4
668,"After he had travelled a little way, he spied a dog lying by the",4
669,"roadside and panting as if he were tired. ‘What makes you pant so, my",4
670,"friend?’ said the ass. ‘Alas!’ said the dog, ‘my master was going to",4
671,"knock me on the head, because I am old and weak, and can no longer make",4
672,myself useful to him in hunting; so I ran away; but what can I do to,4
673,"earn my livelihood?’ ‘Hark ye!’ said the ass, ‘I am going to the great",4
674,"city to turn musician: suppose you go with me, and try what you can",4
675,"do in the same way?’ The dog said he was willing, and they jogged on",4
676,together.,4
677,,4
678,They had not gone far before they saw a cat sitting in the middle of the,4
679,"road and making a most rueful face. ‘Pray, my good lady,’ said the ass,",4
680,"‘what’s the matter with you? You look quite out of spirits!’ ‘Ah, me!’",4
681,"said the cat, ‘how can one be in good spirits when one’s life is in",4
682,"danger? Because I am beginning to grow old, and had rather lie at my",4
683,"ease by the fire than run about the house after the mice, my mistress",4
684,"laid hold of me, and was going to drown me; and though I have been lucky",4
685,"enough to get away from her, I do not know what I am to live upon.’",4
686,"‘Oh,’ said the ass, ‘by all means go with us to the great city; you are",4
687,"a good night singer, and may make your fortune as a musician.’ The cat",4
688,"was pleased with the thought, and joined the party.",4
689,,4
690,"Soon afterwards, as they were passing by a farmyard, they saw a cock",4
691,"perched upon a gate, and screaming out with all his might and main.",4
692,"‘Bravo!’ said the ass; ‘upon my word, you make a famous noise; pray what",4
693,"is all this about?’ ‘Why,’ said the cock, ‘I was just now saying that",4
694,"we should have fine weather for our washing-day, and yet my mistress and",4
