term_str,PC0,PC1,PC2,PC3,PC4
done,-0.002302939810409402,-0.0014738810712599188,-0.0007439322165350299,0.001221563393873604,-0.0007247436999132948
child,-0.004731462291677304,0.007495448500370025,0.0045144097375399385,-0.007792088264175523,-0.004430033088622968
fox,0.16308219872736054,-0.07684520832580152,0.02177499010493505,-0.005848410194862227,0.014116610076206225
may,-0.0014142891206612729,0.0026326789325125896,6.085005951327599e-05,0.0023747140152186653,-0.005000392642247673
lay,-0.002620098592543634,0.003875820026529278,0.003049749733858419,-0.003260559476252346,0.00013660759658429413
castle,-0.013756559407696264,-0.01119020987546876,-0.012007989123444857,0.003991484283244621,0.015269228719352775
left,-0.0019463704882092892,-0.0011553487915751534,-0.0011916129687552439,-0.00021203482504412286,-0.0009610647367073564
through,-0.006922170429481118,-0.0014215543622697674,0.0035681802192658657,0.003926349785346331,0.0016335831870128836
wood,0.0013505496372397056,0.003020127061415713,-0.0008630471721380701,0.0034827496990941635,0.003043896770678604
any,-0.003154588741116968,-0.0008229375681735277,-0.0009132757836866341,0.0008970647564720118,-0.0002463798549763332
make,0.0004282920607614017,0.0013781254669141458,-0.003566787723635268,0.001502045704865551,-0.004590930357232618
stood,-0.004165392700111474,0.00094186383063041,-0.0002522793615629483,-0.0013438600103329874,0.0020616651815366037
children,0.0025817634888158658,0.040328932767415795,0.05260878571930886,-0.012872392365547743,0.04055050922526796
us,-0.001336511822064581,0.007824362600161026,0.0006043830886856859,0.0021383080447073756,-0.0026533245638412526
cut,-0.003559618175926641,0.005160497003049405,-0.0010275932029912465,-0.002641929929461292,-0.001493480085957187
each,-0.005458861566706208,0.0011377470921626305,0.0019198025834547337,0.0017997202114485307,0.01363461435649459
young,0.002262562040772938,-0.005701447117082558,0.0035811965436112845,0.0001237923960315754,0.007489150356245982
queen,-0.017955756648583333,-0.01622837724024974,0.022932929593657024,-0.0035691934333541503,0.009168111707610208
such,-0.0024187059240300987,0.00039848253999172036,-0.001322931116941805,0.0007800496531608773,-0.0016506285405275742
find,-0.00416203520515355,0.0016608816265736262,-0.0037255175806528793,0.0032144996962436864,0.0033063509617159096
going,-0.001582723591817474,-0.00038054028121060153,0.001868689205253193,0.001973285188907721,-0.0013460049352966928
hand,-0.005113988481224917,-0.000550517595080814,0.0019169657717931369,-0.0006855360851249627,-0.0027268700043800538
